rmse_mean	rmse_std	rmse_min	rmse_percentile02	rmse_percentile25	rmse_median	rmse_percentile75	rmse_percentile98	rmse_max
576.8744506835938	929.6412963867188	3.297762393951416	109.96524169921875	297.29325103759766	435.5393524169922	631.1887817382812	1830.4989379882813	42840.80859375
582.9578857421875	934.5237426757812	1.858723521232605	108.46276397705078	295.82755279541016	435.4570007324219	632.6852111816406	1935.7041577148439	42606.71484375
569.856201171875	925.9351806640625	2.320798873901367	108.17546310424805	292.86842346191406	428.89564514160156	619.0157165527344	1839.7602246093772	43261.81640625
564.5518798828125	927.0230102539062	1.2760746479034424	108.66164443969727	293.0081024169922	426.9987030029297	614.4317932128906	1777.075114746094	43199.19140625
580.2413330078125	929.3031616210938	1.4542731046676636	108.31845703124999	296.91492462158203	436.3195495605469	631.7831115722656	1892.242360839844	42734.80078125
578.7154541015625	926.7783203125	3.294405937194824	108.60554641723633	295.43225860595703	434.1926727294922	631.1392517089844	1887.7663476562534	42917.29296875
568.10302734375	926.205078125	2.5248830318450928	108.83368835449218	293.66746520996094	429.7993621826172	619.4022216796875	1782.358212890626	42677.6015625
583.9022827148438	929.9965209960938	3.205310344696045	109.63585540771484	299.36759185791016	439.1440124511719	638.6575012207031	1872.4691137695315	43088.19921875
580.1417236328125	938.2894897460938	5.259802341461182	109.45830718994141	295.7469482421875	434.36199951171875	630.3778381347656	1897.5096655273444	42732.9453125
567.9534301757812	929.6612548828125	1.8107694387435913	106.82787475585937	292.52970123291016	428.85093688964844	616.8228454589844	1799.8264428710943	43039.28515625
571.7117919921875	922.3309326171875	1.7018871307373047	107.69049163818359	294.05523681640625	431.8235168457031	624.3105773925781	1819.4440087890632	42959.8359375
574.0538940429688	925.78662109375	0.8751531839370728	107.53686492919921	295.25557708740234	433.8557586669922	627.4907684326172	1818.9442407226577	43262.6484375
567.7157592773438	926.8650512695312	1.48676598072052	107.1214678955078	293.58502197265625	428.15203857421875	617.7188262939453	1803.2171264648453	43271.2421875
572.283447265625	931.0195922851562	3.294320583343506	109.48481781005859	294.80333709716797	431.2601776123047	622.6743774414062	1809.8759936523438	43054.40234375
561.5283203125	924.144287109375	3.1910572052001953	107.23230545043945	291.10535430908203	425.25732421875	611.6895141601562	1764.8821948242194	43005.51953125
566.5391845703125	924.0525512695312	1.328199863433838	107.61743118286132	292.55533599853516	428.98374938964844	616.9917297363281	1782.5391040039062	42238.12890625
